"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/App.css", "CSS", 0, 0, 190, 3, 33, 226
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/App.js", "JavaScript", 25, 0, 0, 1, 2, 28
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/components/Experiences.css", "CSS", 0, 0, 93, 2, 15, 110
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/components/Experiences.js", "JavaScript", 84, 0, 0, 2, 4, 90
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/components/Header.js", "JavaScript", 19, 0, 0, 0, 4, 23
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/components/MainPage.js", "JavaScript", 73, 0, 0, 0, 5, 78
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/components/Portfolio.css", "CSS", 0, 0, 214, 3, 32, 249
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/components/Portfolio.js", "JavaScript", 268, 0, 0, 0, 8, 276
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/components/Research.css", "CSS", 0, 0, 75, 1, 12, 88
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/components/Research.js", "JavaScript", 112, 0, 0, 1, 7, 120
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/components/Skills.css", "CSS", 0, 0, 61, 1, 9, 71
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/components/Skills.js", "JavaScript", 60, 0, 0, 0, 6, 66
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/index.css", "CSS", 0, 0, 12, 0, 2, 14
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/index.js", "JavaScript", 12, 0, 0, 3, 3, 18
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/logo.svg", "XML", 0, 1, 0, 0, 0, 1
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"/Users/junfzhang/Desktop/Personal/FionaZZhang.github.io/src/setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"Total", "-", 673, 1, 645, 21, 147, 1487
